price_id,price_type,product_code,category_tag,price,price_per,currency,date,location_id,proof_id,proof_type,country,city,qc_price_positive,qc_currency_present,qc_date_present,qc_date_not_future,qc_date_valid,qc_proof_present,qc_proof_visual,qc_product_identity,qc_core_eligible
34186,PRODUCT,8033976484743,,2.990,,EUR,2024-09-16,872,8937,RECEIPT,Italia,Mazara del Vallo,True,True,True,True,True,True,False,True,True
37628,PRODUCT,3038359004544,,1.040,,EUR,2024-09-25,57,10051,RECEIPT,France,Levallois-Perret,True,True,True,True,True,True,False,True,True
38855,PRODUCT,3045320517699,,2.650,,EUR,2024-10-05,1223,10964,PRICE_TAG,France,Paris,True,True,True,True,True,True,False,True,True
39518,PRODUCT,3760020507916,,3.130,,EUR,2024-10-17,3,11392,RECEIPT,France,Grenoble,True,True,True,True,True,True,True,True,True
39552,PRODUCT,4061464487482,,2.190,,EUR,2024-10-01,468,11402,PRICE_TAG,Deutschland,,True,True,True,True,True,True,False,True,True
39573,PRODUCT,3500390010247,,19.950,,EUR,2024-10-18,11,11420,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,True,True,True
39574,PRODUCT,3266140053581,,21.480,,EUR,2024-10-18,11,11420,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,True,True,True
39610,PRODUCT,3280220908073,,1.480,,EUR,2024-10-19,1263,11436,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39622,PRODUCT,3770014111777,,2.040,,EUR,2024-10-19,1263,11448,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39624,PRODUCT,3250392404499,,2.090,,EUR,2024-10-19,1263,11450,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39625,PRODUCT,3220035229611,,2.770,,EUR,2024-10-19,1263,11451,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39626,PRODUCT,3250392335137,,2.070,,EUR,2024-10-19,1263,11452,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39627,PRODUCT,3250391980253,,1.790,,EUR,2024-10-19,1263,11453,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39630,PRODUCT,3033491451652,,2.440,,EUR,2024-10-19,1263,11456,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,False,True,True
39632,PRODUCT,3412290023909,,1.880,,EUR,2024-10-19,1263,11458,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,False,True,True
39633,PRODUCT,3250390523970,,1.090,,EUR,2024-10-19,1263,11459,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39634,PRODUCT,3023260027607,,4.430,,EUR,2024-10-19,1263,11460,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39636,PRODUCT,0290054000006,,9.900,,EUR,2024-10-19,1263,11462,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39637,PRODUCT,3123930711758,,3.600,,EUR,2024-10-19,1263,11463,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39638,PRODUCT,3220035570003,,3.160,,EUR,2024-10-19,1263,11464,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,True,True,True
39692,PRODUCT,3250390523970,,1.090,,EUR,2024-10-19,1263,11518,PRICE_TAG,France,Aulnay,True,True,True,True,True,True,False,True,True
39724,PRODUCT,3240931548135,,3.220,,EUR,2024-10-19,1174,11543,RECEIPT,France,Noisy-le-Grand,True,True,True,True,True,True,False,True,True
39752,PRODUCT,3456300014556,,2.890,,EUR,2024-10-19,256,11555,RECEIPT,France,Meylan,True,True,True,True,True,True,False,True,True
39753,PRODUCT,3760020507916,,2.990,,EUR,2024-10-19,256,11555,RECEIPT,France,Meylan,True,True,True,True,True,True,False,True,True
40987,PRODUCT,3297760097969,,1.950,,EUR,2023-08-25,1304,11776,GDPR_REQUEST,France,Rennes,True,True,True,True,True,True,False,True,True
41843,PRODUCT,3500390010247,,17.580,,EUR,2024-10-26,1,11974,RECEIPT,France,Grenoble,True,True,True,True,True,True,False,True,True
42628,PRODUCT,3273220530375,,1.380,,EUR,2024-10-28,40,12176,RECEIPT,France,Paris,True,True,True,True,True,True,True,True,True
